Nov27_1212_comp
----------------------------------------------------------------------------------------------------
[Twitter]   init=ones (20)   seed=42   batch_size=64 spectral_dim=300
File1: twitter_10000bins_modiffT  File1: twitter_10000bins_modiffT
----------------------------------------------------------------------------------------------------
lr=0.002 schedule=True ema=0.999 epochs=200 reduce=False eps=1e-05
(ScoreNetworkX)+(ScoreNetworkA_eigen=GCN,4)   : depth=2 adim=32 nhid=32 layers=6 linears=2 c=(2 8 4)
(x:VP)=(0.10, 20.00) N=1000 (adj:VP)=(0.10, 20.00) N=1000
----------------------------------------------------------------------------------------------------
154 | 6.24s | test x: 2.108e+01 | test adj: 1.307e+02 | train x: 1.353e+01 | train adj: 1.391e+02 | 
155 | 6.29s | test x: 2.122e+01 | test adj: 1.304e+02 | train x: 1.498e+01 | train adj: 1.393e+02 | 
156 | 6.30s | test x: 2.272e+01 | test adj: 1.290e+02 | train x: 1.373e+01 | train adj: 1.393e+02 | 
157 | 6.25s | test x: 2.801e+01 | test adj: 1.341e+02 | train x: 1.386e+01 | train adj: 1.388e+02 | 
158 | 6.31s | test x: 2.512e+01 | test adj: 1.312e+02 | train x: 1.260e+01 | train adj: 1.385e+02 | 
159 | 6.27s | test x: 1.913e+01 | test adj: 1.292e+02 | train x: 1.128e+01 | train adj: 1.390e+02 | 
160 | 6.25s | test x: 2.548e+01 | test adj: 1.309e+02 | train x: 1.334e+01 | train adj: 1.385e+02 | 
161 | 6.29s | test x: 2.047e+01 | test adj: 1.315e+02 | train x: 1.322e+01 | train adj: 1.392e+02 | 
162 | 6.20s | test x: 1.553e+01 | test adj: 1.317e+02 | train x: 1.317e+01 | train adj: 1.388e+02 | 
163 | 6.21s | test x: 1.992e+01 | test adj: 1.312e+02 | train x: 1.315e+01 | train adj: 1.393e+02 | 
164 | 6.11s | test x: 2.536e+01 | test adj: 1.342e+02 | train x: 1.389e+01 | train adj: 1.393e+02 | 
165 | 6.25s | test x: 1.896e+01 | test adj: 1.311e+02 | train x: 1.245e+01 | train adj: 1.388e+02 | 
166 | 6.26s | test x: 2.409e+01 | test adj: 1.337e+02 | train x: 1.321e+01 | train adj: 1.388e+02 | 
167 | 6.31s | test x: 2.594e+01 | test adj: 1.318e+02 | train x: 1.190e+01 | train adj: 1.389e+02 | 
168 | 6.31s | test x: 2.422e+01 | test adj: 1.322e+02 | train x: 1.323e+01 | train adj: 1.390e+02 | 
169 | 6.18s | test x: 1.438e+01 | test adj: 1.322e+02 | train x: 1.239e+01 | train adj: 1.396e+02 | 
170 | 6.26s | test x: 1.987e+01 | test adj: 1.288e+02 | train x: 1.294e+01 | train adj: 1.392e+02 | 
171 | 6.22s | test x: 2.420e+01 | test adj: 1.298e+02 | train x: 1.326e+01 | train adj: 1.395e+02 | 
172 | 6.24s | test x: 2.095e+01 | test adj: 1.323e+02 | train x: 1.202e+01 | train adj: 1.394e+02 | 
173 | 6.33s | test x: 2.384e+01 | test adj: 1.301e+02 | train x: 1.317e+01 | train adj: 1.393e+02 | 
174 | 6.31s | test x: 1.558e+01 | test adj: 1.330e+02 | train x: 1.149e+01 | train adj: 1.396e+02 | 
175 | 6.25s | test x: 2.352e+01 | test adj: 1.313e+02 | train x: 1.126e+01 | train adj: 1.391e+02 | 
176 | 6.23s | test x: 1.554e+01 | test adj: 1.304e+02 | train x: 1.378e+01 | train adj: 1.386e+02 | 
177 | 6.29s | test x: 2.048e+01 | test adj: 1.322e+02 | train x: 1.252e+01 | train adj: 1.395e+02 | 
178 | 6.27s | test x: 1.681e+01 | test adj: 1.307e+02 | train x: 1.213e+01 | train adj: 1.383e+02 | 
179 | 6.24s | test x: 2.083e+01 | test adj: 1.319e+02 | train x: 1.138e+01 | train adj: 1.398e+02 | 
180 | 6.25s | test x: 2.164e+01 | test adj: 1.326e+02 | train x: 1.204e+01 | train adj: 1.389e+02 | 
181 | 6.29s | test x: 1.255e+01 | test adj: 1.310e+02 | train x: 1.239e+01 | train adj: 1.388e+02 | 
182 | 6.25s | test x: 1.890e+01 | test adj: 1.319e+02 | train x: 1.130e+01 | train adj: 1.397e+02 | 
183 | 6.25s | test x: 2.468e+01 | test adj: 1.324e+02 | train x: 1.289e+01 | train adj: 1.397e+02 | 
184 | 6.31s | test x: 2.247e+01 | test adj: 1.347e+02 | train x: 1.057e+01 | train adj: 1.396e+02 | 
185 | 6.31s | test x: 2.515e+01 | test adj: 1.311e+02 | train x: 1.164e+01 | train adj: 1.391e+02 | 
186 | 6.32s | test x: 1.417e+01 | test adj: 1.301e+02 | train x: 1.103e+01 | train adj: 1.390e+02 | 
187 | 6.18s | test x: 2.559e+01 | test adj: 1.316e+02 | train x: 1.094e+01 | train adj: 1.393e+02 | 
188 | 6.15s | test x: 2.107e+01 | test adj: 1.323e+02 | train x: 1.166e+01 | train adj: 1.396e+02 | 
189 | 6.24s | test x: 2.150e+01 | test adj: 1.315e+02 | train x: 1.204e+01 | train adj: 1.388e+02 | 
190 | 6.20s | test x: 1.564e+01 | test adj: 1.310e+02 | train x: 1.323e+01 | train adj: 1.390e+02 | 
191 | 6.30s | test x: 1.692e+01 | test adj: 1.314e+02 | train x: 1.205e+01 | train adj: 1.390e+02 | 
192 | 6.27s | test x: 2.462e+01 | test adj: 1.313e+02 | train x: 1.200e+01 | train adj: 1.394e+02 | 
193 | 6.31s | test x: 2.288e+01 | test adj: 1.322e+02 | train x: 1.045e+01 | train adj: 1.388e+02 | 
194 | 6.17s | test x: 1.548e+01 | test adj: 1.290e+02 | train x: 1.128e+01 | train adj: 1.386e+02 | 
195 | 6.11s | test x: 1.708e+01 | test adj: 1.314e+02 | train x: 1.032e+01 | train adj: 1.387e+02 | 
196 | 6.05s | test x: 1.963e+01 | test adj: 1.315e+02 | train x: 1.125e+01 | train adj: 1.392e+02 | 
197 | 6.24s | test x: 3.863e+01 | test adj: 1.296e+02 | train x: 1.088e+01 | train adj: 1.395e+02 | 
198 | 6.29s | test x: 3.052e+01 | test adj: 1.323e+02 | train x: 1.290e+01 | train adj: 1.394e+02 | 
199 | 6.30s | test x: 1.755e+01 | test adj: 1.300e+02 | train x: 1.185e+01 | train adj: 1.385e+02 | 
200 | 6.20s | test x: 1.919e+01 | test adj: 1.298e+02 | train x: 9.907e+00 | train adj: 1.388e+02 | 
